"Year","Country","GDP per Capita","R&D","ExpEd","EngSciAvl","HighTech","Exports","Imports","FDI","GCP","Openness","Internet","Patents","EcoFreed","LaborFor"
"2012","US","2.2495458509774","2.68166","","5.42","172387240523","13.528918971166","17.039264973664","11.789671768934","20.020889847903","30.56818394483","29.4589","268782","76.3","63.046001434326"
"2013","US","1.8420810701195","2.70972","4.931049823761","5.35","172145368079","13.54452443065","16.468482783025","1.7166135759424","20.413743132208","30.013007213675","30.3514","287831","76","62.500999450684"
"2014","US","2.5259734504071","2.71924","4.9617400169373","5.32","179263970137","13.531590400314","16.427997422204","1.4369466981805","20.806247168447","29.959587822518","30.6929","285096","75.5","62.195999145508"
"2015","US","2.9080218612834","2.71742","","5.42","178349526944","12.43291493401","15.322240254668","2.8062677322629","21.178741266874","27.755155188679","31.8538","288335","76.2","62.006999969482"
"2016","US","1.6378384570389","2.76145","","5.53","176668196714","11.900500647478","14.639015639051","2.5348063066271","20.447651985319","26.539516286529","32.7312","295327","75.4","62.158000946045"
"2017","US","2.3698007844042","2.81741","","5.75","156937052150","12.165156887204","15.011219358154","1.8801595882266","20.571659612099","27.176376245357","33.9951","293904","75.1","62.293998718262"
"2018","US","2.9273257323297","2.83766","","","156365524736","12.287096055245","15.248491917248","1.270553789893","21.072479743609","27.535587972493","35.6063","285095","75.7","62.312999725342"
"2019","US","2.1611762882992","","","","156361791913","11.73295611216","14.581197436168","1.6405883090114","21.014288749626","26.314153548327","34.6719","","76.8","62.048999786377"
"2012","Germany","0.4184975942176","2.86813","4.9565801620483","4.53","204071158697","46.30712014308","40.206934735968","1.8553072826346","19.715988358328","86.514054879048","34.5261","46620","71","59.942001342773"
"2013","Germany","0.43759130314467","2.82105","4.9611101150513","4.92","210129818072","45.418677859391","39.660198836858","1.8002762693752","20.053746420759","85.078876696249","35.2845","47353","72.8","60.235000610352"
