Year,Country,GDP per Capita,R&D,ExpEd,EngSciAvl,HighTech,Exports,Imports,FDI,GCP,Openness,Internet,Patents,EcoFreed,LaborFor
2012,US,2.249545851,2.68166,,5.42,172387240523,13.52891897,17.03926497,11.78967177,20.02088985,30.56818394,29.4589,268782,76.3,63.04600143
2013,US,1.84208107,2.70972,4.931049824,5.35,172145368079,13.54452443,16.46848278,1.716613576,20.41374313,30.01300721,30.3514,287831,76,62.50099945
2014,US,2.52597345,2.71924,4.961740017,5.32,179263970137,13.5315904,16.42799742,1.436946698,20.80624717,29.95958782,30.6929,285096,75.5,62.19599915
2015,US,2.908021861,2.71742,,5.42,178349526944,12.43291493,15.32224025,2.806267732,21.17874127,27.75515519,31.8538,288335,76.2,62.00699997
2016,US,1.637838457,2.76145,,5.53,176668196714,11.90050065,14.63901564,2.534806307,20.44765199,26.53951629,32.7312,295327,75.4,62.15800095
2017,US,2.369800784,2.81741,,5.75,156937052150,12.16515689,15.01121936,1.880159588,20.57165961,27.17637625,33.9951,293904,75.1,62.29399872
2018,US,2.927325732,2.83766,,,156365524736,12.28709606,15.24849192,1.27055379,21.07247974,27.53558797,35.6063,285095,75.7,62.31299973
2019,US,2.161176288,,,,156361791913,11.73295611,14.58119744,1.640588309,21.01428875,26.31415355,34.6719,,76.8,62.04899979
2012,Germany,0.4184975942,2.86813,4.956580162,4.53,204071158697,46.30712014,40.20693474,1.855307283,19.71598836,86.51405488,34.5261,46620,71,59.94200134
2013,Germany,0.4375913031,2.82105,4.961110115,4.92,210129818072,45.41867786,39.66019884,1.800276269,20.05374642,85.0788767,35.2845,47353,72.8,60.23500061
2014,Germany,2.209543431,2.86691,4.939620018,4.92,216297040017,45.61926331,39.00083008,0.5017691285,20.37029066,84.62009339,36.3078,48154,73.4,60.24000168
2015,Germany,1.491931528,2.91197,4.834980011,4.98,199797306303,46.92073836,39.32548626,1.859895133,19.74294325,86.24622461,37.5454,47384,73.8,60.08300018
2016,Germany,2.229999868,2.91712,4.840219975,5.03,206133813845,46.07326285,38.69638311,1.866123503,19.96742952,84.76964597,38.9324,48480,74.4,60.31499863
2017,Germany,2.601976005,3.03763,4.905119896,5.15,195752362801,47.20417441,40.20752425,3.210381537,20.84635536,87.41169866,40.2044,47785,73.8,60.51100159
2018,Germany,1.267995232,3.09415,,,210082307180,47.37254984,41.22383737,4.237279989,21.57945543,88.59638721,41.0854,46617,74.2,60.82699966
2019,Germany,0.5554508879,,,,208677809287,46.89291254,41.0962149,1.870212526,21.3888462,87.98912744,41.9933,,73.5,60.81100082
2012,Australia,3.918162871,,4.868999958,4.31,5488081110,21.48082841,21.72951827,3.722171874,27.74255764,43.21034667,25.0394,2627,83.1,65.33100128
2013,Australia,2.584897702,2.1787,5.229740143,4.61,5367019937,19.95616761,21.25226273,3.42582358,27.89579166,41.20843035,25.7193,3061,82.6,65.09500122
2014,Australia,2.533114665,,5.164770126,4.72,5487641576,21.039455,21.46703534,4.306383954,26.74563505,42.50649034,27.6991,1988,82,64.85600281
2015,Australia,2.192647426,1.91943,5.311270237,4.94,5123915237,19.98484551,21.50952757,3.469188226,26.27069662,41.49437308,28.5302,2291,81.4,65.15000153
2016,Australia,2.770652197,,5.276780128,5.02,5406743775,19.25105708,21.52658435,3.555512757,25.37197856,40.77764142,30.4805,2620,80.3,64.99099731
2017,Australia,2.300610624,1.87372,5.124249935,4.89,4837243928,21.20575066,20.61296969,3.576703179,24.05679621,41.81872035,32.2234,2503,81,65.23400116
2018,Australia,2.949285772,,,,5274079796,21.82190462,21.44074306,4.262703626,24.52866015,43.26264768,33.7214,2757,80.9,65.65399933
2019,Australia,2.160956295,,,,6411061180,24.11096544,21.59949403,2.86952055,23.19688838,45.71045947,34.5413,,80.9,65.51799774
2012,Japan,1.495089586,3.20908,3.692260027,5.74,5488081110,14.54475256,16.09137113,4.89480689,22.65442345,30.63612369,28.1353,287013,71.6,59.27999878
2013,Japan,2.000267841,3.31496,3.665380001,5.49,5367019937,15.91539812,18.23212413,5.649771681,23.19090989,34.14752226,28.7721,271731,71.8,59.61199951
2014,Japan,0.3747194764,3.40022,3.59059,5.44,5487641576,17.54030155,20.00546825,5.912048891,23.91610038,37.5457698,29.4838,265959,72.4,59.81900024
2015,Japan,1.222921041,3.28165,,5.57,5123915237,17.61097554,18.03004518,4.147202286,24.02266959,35.64102072,30.3727,258839,73.3,59.98899841
2016,Japan,0.5219444555,3.15522,3.186180115,5.51,5406743775,16.26639569,15.27540944,3.892851427,23.41850389,31.54180513,31.1557,260244,73.1,60.4469986
2017,Japan,2.168290737,3.21254,3.182179928,5.32,4837243928,17.75185227,16.82158589,0.3863319301,24.01004291,34.57343816,31.7895,260292,69.6,60.8730011
2018,Japan,0.3232073379,3.26451,,,5274079796,18.52490882,18.29159855,0.4966068858,24.32454711,36.81650736,32.162,253630,72.3,61.88299942
2019,Japan,0.6541516502,,,,6411061180,,,0.731572588,,,32.162,,72.1,61.72600174
2012,Israel,2.257237557,4.15735,,5.21,11565015000,36.04971882,36.05780541,3.506219319,21.31297004,72.10752422,25.4368,1319,67.8,63.55599976
2013,Israel,4.148054503,4.09218,,5.25,11744185000,33.78998691,31.91863331,4.046731558,20.07921436,65.70862022,25.8958,1201,66.9,63.72999954
2014,Israel,3.758200163,4.16793,,5.2,12408980000,32.32434597,30.59663131,1.954041283,20.59406412,62.92097728,27.1319,1125,68.4,64.15399933
2015,Israel,2.290092133,4.25592,,5.21,13753939000,31.55037704,28.25933558,3.781088685,19.94650811,59.80971262,27.2357,1285,70.5,64.1309967
2016,Israel,3.982046419,4.50574,,5.3,12199784000,29.99254569,28.28073196,3.758575791,21.09909317,58.27327765,27.8457,1300,70.7,64.22599792
2017,Israel,3.536703171,4.81602,,5.34,12057719000,28.79458025,27.59646299,4.781977942,21.47782864,56.39104324,28.4091,1436,69.7,64.10600281
2018,Israel,3.453702558,4.95278,,,12971903000,29.79165301,29.14539081,5.805504044,21.70663008,58.93704382,28.7537,1506,72.2,64.08399963
2019,Israel,3.471688231,,,,12564551000,29.31867152,27.44754486,4.826300095,21.35690797,56.76621639,29.1218,,72.8,64.04199982
